Producto - Descripción,Cliente - Descripción,Fecha,Pedido_piezas,Pedido_MXN,Factura_piezas,Factura_MXN
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/10/2025,444581,15149755,374521,12371247
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/11/2025,450600,14171756,375280,12028561
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/12/2025,360339,12098174,272059,8752472
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2026,383979,13326406,381151,12295107
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2026,885207,24869607,438645,13850005
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2026,425063,15291357,394500,13045805
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2026,406550,15197624,375302,12449878
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2026,292744,11754849,287171,8806639
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2026,333140,11257237,346185,10716148
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2026,385419,13853526,390037,12674004
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2026,378267,13639632,393279,12395263
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2026,524532,17545662,491090,15856362
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/10/2026,500342,17070785,453464,14161451
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/11/2026,506361,16092786,454224,13818765
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/12/2026,416100,14019204,351003,10542675
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2027,439739,15247436,460095,14085311
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2027,940967,26790637,517589,15640209
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2027,480824,17212387,473444,14836009
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2027,462311,17118654,454246,14240081
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2027,348504,13675879,366115,10596843
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2027,388900,13178267,425129,12506351
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2027,441180,15774556,468981,14464208
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2027,434027,15560662,472223,14185466
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2027,580292,19466692,570034,17646566
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/10/2025,116022,3854675,86321,2700764
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/11/2025,249620,7820672,257066,7778717
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/12/2025,172649,6015127,180655,5976748
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/01/2026,232293,8373568,240791,8336547
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/02/2026,113359,3921811,76844,2430008
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/03/2026,323273,12040774,191276,6922514
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/04/2026,179641,5878607,190042,5859107
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/05/2026,97278,3279584,108546,3273718
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/06/2026,53795,2069487,65585,2065994
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/07/2026,118358,4808517,130558,4801235
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/08/2026,189458,6939820,202173,6934627
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/09/2026,119319,4131709,132317,4122475
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/10/2026,129476,4446319,106079,3321646
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/11/2026,263075,8412316,276823,8399598
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/12/2026,186103,6606771,200413,6597629
