Producto - Descripción,Cliente - Descripción,Fecha,Pedido_piezas,Pedido_MXN,Factura_piezas,Factura_MXN
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/10/2025,401573,12712159,317869,9975410
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/11/2025,88759,2848753,79767,2582666
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/12/2025,234137,7488441,148539,4761356
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2026,421985,13958117,422168,13955734
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2026,185715,6034447,182468,5944160
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2026,306731,11207282,12994,433788
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2026,407978,14736541,79021,2577181
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2026,554243,17990279,402633,13093143
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2026,292656,9496853,225547,7322563
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2026,417938,13575178,288006,9371047
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2026,491250,15955178,434676,14145577
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2026,360556,11697810,337960,10940696
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/10/2026,347960,10903814,254144,7942410
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/11/2026,183823,5882303,158023,5056739
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/12/2026,205859,6587470,164009,5248279
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2027,401303,13458735,401299,13458602
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2027,221395,7355602,219626,7296836
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2027,332058,11703028,68759,2283379
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2027,332389,11654245,101665,3377696
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2027,512714,17034297,437101,14522190
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2027,253676,8428078,222665,7397787
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2027,461102,15318635,323417,10745171
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2027,526118,17479679,492608,16366354
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2027,297136,9871992,282329,9380035
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/10/2025,262762,15535681,74711,2306087
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/11/2025,692344,38753917,437654,18595970
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/12/2025,470093,21455928,177472,6220092
